"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000204397",202.579305739292,3.14736903980273,0.231023726548834,13.6235748891248,2.90016394889754e-42,5.56957572273062e-40,"CARD16"
"ENSG00000140416",6293.60478959153,1.39452370171152,0.104468575963918,13.3487384971456,1.20471781940412e-40,2.28053083213201e-38,"TPM1"
"ENSG00000212747",171.645768905878,5.19464890049392,0.390135631735662,13.3149819650761,1.89418190212812e-40,3.53518371621122e-38,"RTL8B"
"ENSG00000184014",1995.38830885875,1.22189335317622,0.0925582725238204,13.2013413804991,8.61865319310727e-40,1.58619129808145e-37,"DENND5A"
"ENSG00000287080",26033.3709131795,-1.53874723956938,0.117478230927941,-13.0981478646305,3.37390718234567e-39,6.1243348045565e-37,"H3C3"
"ENSG00000111371",497.768264113069,1.61947518376268,0.123939087906157,13.0667024513598,5.10300752950329e-39,9.13783145587137e-37,"SLC38A1"
"ENSG00000196526",1301.12659274199,1.19541524992857,0.0919610191277257,12.9991518283225,1.23707671842341e-38,2.18566714611048e-36,"AFAP1"
"ENSG00000065308",2147.28327526289,1.04843038982724,0.0807218180609111,12.9881909874245,1.42761685568283e-38,2.48912512561225e-36,"TRAM2"
"ENSG00000138166",425.871389799178,2.25832387966845,0.174787627573996,12.920387506904,3.45397550300187e-38,5.94397784289322e-36,"DUSP5"
"ENSG00000151790",215.662734346759,-8.09161929941722,0.62871296772318,-12.8701326596144,6.62882028398729e-38,1.12613458439892e-35,"TDO2"
"ENSG00000110651",3910.09268551647,1.38712102101414,0.107956216363711,12.848922162489,8.72169718767063e-38,1.46292670169397e-35,"CD81"
"ENSG00000049245",1423.67205280911,1.42909589456463,0.112821511039791,12.6668742635489,9.02390160302389e-37,1.49469650177087e-34,"VAMP3"
"ENSG00000134333",18937.2140258939,0.833613934752278,0.0658435562022122,12.6605241702341,9.78438586577734e-37,1.60065305070883e-34,"LDHA"
"ENSG00000136235",152.473844783564,6.08832300069678,0.490610701385503,12.4096824294764,2.31569435658136e-35,3.74210559988531e-33,"GPNMB"
"ENSG00000277157",8888.7151425462,-0.816882186741122,0.0659296686572353,-12.3902061602652,2.95283318744743e-35,4.71421597191155e-33,"H4C4"
"ENSG00000136160",143.32659215449,-3.73884605020341,0.302742980305548,-12.3499017101236,4.87709768505577e-35,7.69362159817548e-33,"EDNRB"
"ENSG00000178685",236.52864805633,3.05684209256544,0.247649417999757,12.3434253036219,5.28583287204033e-35,8.24030251616546e-33,"PARP10"
"ENSG00000105649",170.169432926076,2.75176690999752,0.225171062348359,12.2207839732989,2.40751717747304e-34,3.7095360603134e-32,"RAB3A"
"ENSG00000149177",555.087280470432,1.39134890396266,0.11438059238904,12.1642043890654,4.82119755996926e-34,7.34318262840836e-32,"PTPRJ"
"ENSG00000162645",720.786398616514,1.62315113174764,0.134916712183996,12.0307640578584,2.44883952658472e-33,3.68745142804251e-31,"GBP2"
"ENSG00000110880",2768.85303812013,1.09105033559256,0.0909436779668223,11.9969893453241,3.68456738786392e-33,5.48586544456009e-31,"CORO1C"
"ENSG00000011009",1658.48922417526,0.920901094097059,0.0772262634279006,11.9247138631383,8.79858099373396e-33,1.29544440831076e-30,"LYPLA2"
"ENSG00000135074",507.543389210307,2.22940982169669,0.188789951854684,11.8089432186132,3.50944451236027e-32,5.11029112453691e-30,"ADAM19"
"ENSG00000110047",2008.6784182095,1.25111575606546,0.106154929316732,11.7857528060005,4.62271216946117e-32,6.65821293016631e-30,"EHD1"
"ENSG00000113070",592.395205931954,1.86062295611313,0.158289416021423,11.7545632732722,6.69057789202098e-32,9.53299437066344e-30,"HBEGF"
"ENSG00000147804",346.118181376744,2.73810194032615,0.235965568536969,11.6038198170305,3.94086945162969e-31,5.55536820250479e-29,"SLC39A4"
"ENSG00000115761",2310.03523783766,-1.08324133645923,0.0936127936857462,-11.5715095534443,5.74626536175101e-31,8.01513287458555e-29,"NOL10"
